email,first_name,last_name,role,password,password_confirmation
walter@example.com,Walter,White,Teacher,password,password
skylar@example.com,Skylar,White,Teacher,password,password
hank@example.com,Hank,Moody,Teacher,password,password
gerald@example.com,Gerald,Broflowski,Teacher,password,password
liane@example.com,Liane,Cartman,Teacher,password,password
randy@example.com,Randy,Marsh,Teacher,password,password
sheila@example.com,Sheila,Broflowski,Teacher,password,password
jesse@example.com,Jesse,Pinkman,Student,password,password
blake@example.com,Blake,Anderson,Student,password,password
adam@example.com,Adam,Demamp,Student,password,password
ders@example.com,Anders,Holmvick,Student,password,password
eric@example.com,Eric,Cartman,Student,password,password
kenny@example.com,Kenny,McCormick,Student,password,password
stan@example.com,Stan,Marsh,Student,password,password
kyle@example.com,Kyle,Broflowski,Student,password,password
butters@example.com,Butters,Scotch,Student,password,password
clyde@example.com,Clyde,Donovan,Student,password,password
jimmy@example.com,Jimmy,Valmer,Student,password,password
ike@example.com,Ike,Broflowski,Student,password,password
wendy@example.com,Wendy,Tesaberger,Student,password,password
shelly@example.com,Shelly,Marsh,Student,password,password
tammy@example.com,Tammy,Warner,Student,password,password
token@example.com,Token,Black,Student,password,password
sharon@example.com,Sharon,Marsh,Student,password,password
bradley@example.com,Bradley,Biggle,Student,password,password
clyde@clyde.com,Clyde,Frog,Administrator,password,password
